sno,content,link,date
1,"['died in a road accident', 'knocked by a tempo', 'knocked at Nashik Road', 'knocked on Tuesday', 'riding at Nashik Road', 'riding on Monday evening', 'from behind', 'complaint over causing death due to negligent driving', 'received in his head and chest', 'being in the hospital', 'organisations on the road whose CCTV footages are being used to track the details of the vehicle and reach the motorist']",https://timesofindia.indiatimes.com/city/nashik/63-yr-old-killed-in-road-accident/articleshow/102371047.cms," Aug 3, 2023"
2,"['collided near Gaikmukh', 'jam on the Mumbai bound lane of Ghodbunder Road and Ahmedabad highway', 'led on Tuesday morning', 'descent on the Thane bound lane', 'spotted in the way that had apparently broken down', 'injured in the mishap']",https://timesofindia.indiatimes.com/city/thane/three-vehicle-collision-hits-gb-rd-traffic/articleshow/102332879.cms," Aug 2, 2023"
3,"['hit near Padgha Khadavali turning point', 'hit on Mumbai Nashik highway', 'hit on Tuesday morning', 'took at around 7.30am', 'took near Lucky hotel on the highway where in the past too many accidents were reported', 'hotel on the highway where in the past too many accidents were reported', 'reported in the past', 'captured on CCTV camera installed on the highway', 'installed on the highway', 'speeding in Mumbai Nashik Highway']",https://timesofindia.indiatimes.com/city/thane/4-dead-5-injured-in-road-accident-on-mumbai-nashik-highway/articleshow/101849590.cms,"Jul 18, 2023"
4,"['injured in an accident', 'injured on Tuesday', 'died on Wednesday', 'crossing on Tuesday', 'knocked by a speeding car', 'set on the Gangapur Road', 'set near the site of the incident', 'injuries in head and chest', 'succumbed on Wednesday']",https://timesofindia.indiatimes.com/city/nashik/senior-citizen-killed-in-nashik-road-accident/articleshow/101559055.cms," Jul 7, 2023"
5,"['killed in two accidents in Nashik city and Chandwad', 'accidents in Nashik city and Chandwad', 'killed on Sunday', 'booked on the charge of causing death due to negligence by the police', 'negligence by the police', 'riding on a bike', 'riding at around 8 pm when they were hit by a car coming from the opposite direction', 'hit by a car coming from the opposite direction', 'was on the wrong side of the road', 'suffered in the accident', 'injuries on his legs', 'hit by an unidentified motorist', 'hit at around 11.30', 'am in Ambad industrial area']",https://timesofindia.indiatimes.com/city/nashik/3-killed-in-road-accidents-in-nashik-district/articleshow/101472219.cms," Jul 4, 2023"
6,"['killed in an accident on the Ramtek Bhandara Road', 'accident on the Ramtek Bhandara Road', 'travelling in rammed into a stationary truck from behind', 'travelling on Sunday', 'temple in Ramtek', ""driven by Himanshu 's father Rajesh who along with wife Durga is posted with Bhandara police"", 'injured in the accident', 'hospital at Ramtek', 'shifted in the city where the three were declared dead by the doctors', 'declared by the doctors', 'parked on the roadside']",https://timesofindia.indiatimes.com/city/nagpur/2-kids-among-three-dead-in-road-accident/articleshow/101652612.cms,"Jul 11, 2023"
7,"['divider near Zero Mile', 'accident on July 6', 'succumbed on Friday', 'storage on old Bhandara road', 'stored at Heliwal Krishi Seetgruha Private Limited Company at Umiya Kapsi Burjug', 'Company at Umiya Kapsi Burjug']",https://timesofindia.indiatimes.com/city/nagpur/36-year-old-man-dies-in-road-accident/articleshow/101606564.cms," Jul 9, 2023"
8,"['killed in separate road accidents on Trimbak Road between Sunday and Monday', 'accidents on Trimbak Road', 'accidents between Sunday and Monday', 'hit by a car', 'hit on Monday afternoon', 'opening in the road', 'divider at around 3.30 pm', 'suffered in the accident', 'admitted in the Nashik civil hospital', 'control over his vehicle', 'took at around 9 pm', 'took on Sunday', 'riding on the Trimbak Road', 'control over his scooter', 'suffered in the accident', 'hospital in the city where he succumbed to the injuries on Monday morning', 'succumbed on Monday morning']",https://timesofindia.indiatimes.com/city/nashik/2-killed-in-separate-accidents-on-trimbak-road/articleshow/101683196.cms,"Jul 12, 2023"
9,"['violating in a special drive that began on June 28', 'began on June 28', 'are on the rise in the city', 'rise in the city', 'injured in accidents', 'mandated by teh Motor Vehicles Act', 'lost in road accidents in the city', 'accidents in the city', 'stood at 86', 'provided by the city police', 'died in road accidents', 'died between January and May']",https://timesofindia.indiatimes.com/city/nashik/nashik-traffic-cops-fine-over-4k-helmetless-bikers-during-drive/articleshow/101652988.cms,"Jul 11, 2023"
10,"['suffering in a road accident in the Upnagar area', 'accident in the Upnagar area', 'suffering on Saturday afternoon', 'riding in the Jail Road area', 'riding on Saturday', 'survived by his parents wife a 14 year old daughter and a 10 year old son', 'joined in Mumbai', 'worked at the police headquarters of the city police']",https://timesofindia.indiatimes.com/city/nashik/police-naik-killed-in-bike-accident/articleshow/101623832.cms,"Jul 10, 2023"
11,"['rammed on an internal road in the Gangapur Road area', 'road in the Gangapur Road area', 'rammed on Wednesday night', 'sustained in the accident', 'took at around 9 pm in Kale Nagar', 'pm in Kale Nagar', 'took behind the Guruji Hospital in Anandwali area of Gangapur Road', 'Hospital in Anandwali', 'speeding on his bike', 'speeding on the colony road', 'control over his vehicle', 'rammed on the same road', 'speeding by the driver', 'succumbed on Thursday evening', 'are in good condition', 'speed on them', 'registered under Section 304 A', 'registered on the charges of causing death due to negligence', 'roads in the city colonies', 'put on them', 'occur on the smooth roads of the inner colonies']",https://timesofindia.indiatimes.com/city/nashik/biker-rams-tree-near-gangapur-rd-at-night-dies/articleshow/101586823.cms," Jul 8, 2023"
12,"['falling on the third floor of Shree Complex in Narendra Nagar area', 'Complex in Narendra Nagar area', 'suffered at around 8.45am', 'suffered on Thursday', 'molested by 20 year old man Powered By Play Unmute', 'molesting by threatening to spread her photos on social media', 'photos on social media', 'befriended on Instagram', 'dies in road accident', 'hit by an unidentified vehicle near HP Gas', 'vehicle near HP Gas', 'hit on June 18', 'treatment on Thursday']",https://timesofindia.indiatimes.com/city/nagpur/82-year-old-man-dies-after-falling-from-3rd-floor/articleshow/101558748.cms," Jul 7, 2023"
13,"['died in a road accident at Girgaum Chowpatty', 'accident at Girgaum Chowpatty', 'died on Wednesday morning', 'driven by a minor', 'be in 10 minutes', 'called at 5 am', 'was on Wednesday midnight', 'cut at midnight', 'inculcated in all schoolchildren', 'coming at a high speed applied brakes', 'rained in the night', 'fell on the road', 'died on the spot', 'died on Wednesday evening', 'Laboratory at Kalina', 'transferred in his name', 'booked under Section 304A', 'causing by negligence', 'riding on a public way', 'hurt by act', 'driving in contravention of Section 3 or Section 4 of the Motor Vehicle Act', 'transfer in his name', ""mourning at Khan 's residence near Grant Road"", 'residence near Grant Road', 'sister in law', 'was in the scrap business', 'worked in a printing company']",https://timesofindia.indiatimes.com/city/mumbai/chowpatty-death-cocktail-of-speed-brakes-and-rain/articleshow/101030163.cms,"Jun 16, 2023"
