sno,data,link,date
1,['at Nashik Road'],https://timesofindia.indiatimes.com/city/nashik/63-yr-old-killed-in-road-accident/articleshow/102371047.cms," Aug 3, 2023"
2,"[['87.98753600635462', '25.469097275829384']]",https://timesofindia.indiatimes.com/city/thane/three-vehicle-collision-hits-gb-rd-traffic/articleshow/102332879.cms," Aug 2, 2023"
3,"[['73.21546591331146', '19.350072226114047'], ['73.06488', '19.297703'], ['78.79171027378489', '25.69172383033335']]",https://timesofindia.indiatimes.com/city/thane/4-dead-5-injured-in-road-accident-on-mumbai-nashik-highway/articleshow/101849590.cms,"Jul 18, 2023"
4,[],https://timesofindia.indiatimes.com/city/nashik/senior-citizen-killed-in-nashik-road-accident/articleshow/101559055.cms," Jul 7, 2023"
5,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/3-killed-in-road-accidents-in-nashik-district/articleshow/101472219.cms," Jul 4, 2023"
6,"[['79.49354356428789', '21.398161116888048']]",https://timesofindia.indiatimes.com/city/nagpur/2-kids-among-three-dead-in-road-accident/articleshow/101652612.cms,"Jul 11, 2023"
7,[],https://timesofindia.indiatimes.com/city/nagpur/36-year-old-man-dies-in-road-accident/articleshow/101606564.cms," Jul 9, 2023"
8,['on Trimbak Road'],https://timesofindia.indiatimes.com/city/nashik/2-killed-in-separate-accidents-on-trimbak-road/articleshow/101683196.cms,"Jul 12, 2023"
9,[],https://timesofindia.indiatimes.com/city/nashik/nashik-traffic-cops-fine-over-4k-helmetless-bikers-during-drive/articleshow/101652988.cms,"Jul 11, 2023"
10,"[['73.77458883287021', '16.20889598587682'], 'in Jail Road area']",https://timesofindia.indiatimes.com/city/nashik/police-naik-killed-in-bike-accident/articleshow/101623832.cms,"Jul 10, 2023"
11,[],https://timesofindia.indiatimes.com/city/nashik/biker-rams-tree-near-gangapur-rd-at-night-dies/articleshow/101586823.cms," Jul 8, 2023"
12,"[['87.98753600635462', '25.469097275829384']]",https://timesofindia.indiatimes.com/city/nagpur/82-year-old-man-dies-after-falling-from-3rd-floor/articleshow/101558748.cms," Jul 7, 2023"
13,"[['72.0431380501599', '24.68998411339258']]",https://timesofindia.indiatimes.com/city/mumbai/chowpatty-death-cocktail-of-speed-brakes-and-rain/articleshow/101030163.cms,"Jun 16, 2023"
14,"[['78.39856153352103', '23.313741904197894']]",https://timesofindia.indiatimes.com/city/nashik/no-speed-reducing-measures-yet-at-27-black-spots-in-nashik/articleshow/101443916.cms," Jul 3, 2023"
15,"['on Samruddhi Expressway', ['74.08001769161578', '19.818517658101943']]",https://timesofindia.indiatimes.com/city/nashik/four-of-family-killed-as-muv-hits-wall-on-samruddhi-expressway/articleshow/100932875.cms,"Jun 12, 2023"
16,[],https://timesofindia.indiatimes.com/city/thane/40-year-old-driver-from-gujarat-dies-in-road-accident-in-thane/articleshow/101772479.cms,"Jul 15, 2023"
18,[],https://timesofindia.indiatimes.com/city/nagpur/now-no-entry-for-helmetless-riders-at-rto-offices/articleshow/101176995.cms,"Jun 22, 2023"
19,[],https://timesofindia.indiatimes.com/city/pune/senior-citizen-killed-in-road-accident/articleshow/100608920.cms,"May 30, 2023"
20,"[['76.10787179156058', '19.451603432493474']]",https://timesofindia.indiatimes.com/city/nagpur/are-you-a-minor-driving-without-a-licence-be-ready-to-pay-25000/articleshow/101120830.cms,"Jun 20, 2023"
21,['on Trimbak Road'],https://timesofindia.indiatimes.com/city/nashik/2-youngsters-killed-in-road-accident/articleshow/100516169.cms,"May 26, 2023"
22,"[['76.11691342204857', '20.4637036654776']]",https://timesofindia.indiatimes.com/city/nagpur/6-killed-10-injured-in-bus-truck-collision-in-maharashtras-buldhana-mumbai-nagpur-highway/articleshow/100436137.cms,"May 23, 2023"
23,"[['87.98753600635462', '25.469097275829384'], ['71.84995314558398', '23.854521239691']]",https://timesofindia.indiatimes.com/city/nagpur/man-dies-after-bike-rams-stationary-trailer/articleshow/100951817.cms,"Jun 13, 2023"
