sno,heading,sub-heading,link
1,Four of family dead in Bijnor Road accident,Four members of a family were killed and two others sustained injuries when the auto-rickshaw they were travelling in was hit by an unidentified vehicle in Bijnor district late Monday night.,https://timesofindia.indiatimes.com/city/meerut/four-of-family-dead-in-bijnor-road-accident/articleshow/102120657.cms
2,Cops rushed 470 Road accident victims to hospitals in PCR vans in 18 months: Data,"At least 470 Road accident victims in the capital were shifted to nearby hospitals by the commissionerate police in the past 18 months, data shared by police shows. A bulk of the victims were sole earning members of their families.",https://timesofindia.indiatimes.com/city/bhubaneswar/cops-rushed-470-road-accident-victims-to-hospitals-in-pcr-vans-in-18-months-data/articleshow/102295968.cms
3,‘Road accident deaths dip in April-May than in 2022’,,https://timesofindia.indiatimes.com/city/bhubaneswar/road-accident-deaths-dip-in-april-may-than-in-2022/articleshow/102243314.cms
4,63-yr-old killed in Road accident,,https://timesofindia.indiatimes.com/city/nashik/63-yr-old-killed-in-road-accident/articleshow/102371047.cms
5,College woman dies in Chennai Road accident,,https://timesofindia.indiatimes.com/city/chennai/college-woman-dies-in-chennai-road-accident/articleshow/102343690.cms
6,Student killed in Road accident,,https://timesofindia.indiatimes.com/city/mangaluru/student-killed-in-road-accident/articleshow/101972457.cms
7,Man killed in Road accident,,https://timesofindia.indiatimes.com/city/mangaluru/man-killed-in-road-accident/articleshow/101907926.cms
8,"2 killed, 3 injured as car crashes into culvert wall in Rajasthan's Alwar",Two people died while three others sustained injuries after the car they were travelling in crashed into the wall of a culvert on Wednesday night near Akbarpur in Rajasthan's Alwar district.,https://timesofindia.indiatimes.com/city/jaipur/2-killed-3-injured-as-car-crashes-into-culvert-wall-in-rajasthans-alwar/articleshow/101992538.cms
9,4 killed as bus hits e-rickshaw on Ayodhya road,Four persons were killed and five others sustained injuries after an Uttar Pradesh State Roads Transport Corporation (UPSRTC) bus hit an e-rickshaw from the rear on Barabanki-Ayodhya highway in Barabanki on Wednesday.,https://timesofindia.indiatimes.com/city/lucknow/4-killed-as-bus-hits-e-rickshaw-on-ayodhya-road/articleshow/101970187.cms
10,Youth critically injured in Road accident,,https://timesofindia.indiatimes.com/city/ludhiana/youth-critically-injured-in-road-accident/articleshow/102066642.cms
11,Pedestrian killed in Road accident,,https://timesofindia.indiatimes.com/city/coimbatore/pedestrian-killed-in-road-accident/articleshow/101713590.cms
12,"Nine dead, seven injured in Road accident in UP's Pratapgarh","Nine persons were killed and seven others injured in the Lilapur area here on Monday afternoon when a gas tanker overturned and hit the tempo van they were travelling in, police said.",https://timesofindia.indiatimes.com/city/lucknow/nine-dead-seven-injured-in-road-accident-in-ups-pratapgarh/articleshow/101644720.cms
