sno,heading,sub-heading,link
1,Five of a family killed as SUV hits tree near Trichy,"Seven others, including a two-year-old boy, were injured in the accident.",https://timesofindia.indiatimes.com/city/trichy/five-of-a-family-killed-as-suv-hits-tree-near-trichy/articleshow/45909412.cms
2,Two pilgrims killed as van overturns near Trichy,"Two pilgrims, including a woman, were killed and 22 others were injured when a van they were travelling in overturned after one of its tyres burst near Marungapuri on the Madurai – Trichy road in the wee hours of Friday.",https://timesofindia.indiatimes.com/city/trichy/two-pilgrims-killed-as-van-overturns-near-trichy/articleshow/45909156.cms
3,"Woman on morning walk, pillion rider killed in Road accidents",Two women aged 54 and 45 were killed in separate Road accidents in the city on Friday and Saturday.,https://timesofindia.indiatimes.com/city/chennai/woman-on-morning-walk-pillion-rider-killed-in-road-accidents/articleshow/46810021.cms
4,2 killed in Road accidents,Two people were killed and three injured in separate accidents in the capital on Sunday night.,https://timesofindia.indiatimes.com/city/delhi/2-killed-in-road-accidents/articleshow/17013903.cms
5,16-year-old boy dies in Road accident,A 16-year-old student came under the rear wheel of a truck at Birla while he had gone to distribute Dussehra sweets to his friends.,https://timesofindia.indiatimes.com/city/goa/16-year-old-boy-dies-in-road-accident/articleshow/44254452.cms
6,"Senior IAS officer, two others killed in Krishnagiri accident","Three people, including a senior bureaucrat with the Tamil Nadu government, were killed when the car in which they were travelling rammed a van near Krishnagiri in Tamil Nadu on Wednesday evening.",https://timesofindia.indiatimes.com/city/chennai/senior-ias-officer-two-others-killed-in-krishnagiri-accident/articleshow/45892401.cms
7,"400 die each year in Road accidents in city, Pimpri Chinchwad","Around 400 lives are lost each year in Road accidents in Pune and Pimpri Chinchwad, with two-wheeler riders making up for half the deaths followed by pedestrians.",https://timesofindia.indiatimes.com/city/pune/400-die-each-year-in-road-accidents-in-city-pimpri-chinchwad/articleshow/45880277.cms
8,Three killed in minibus-van collision near Dindigul,Three persons died on the spot and a few others suffered injuries when a minibus collided with a van near Thennampettai in Dindigul district on Tuesday morning.,https://timesofindia.indiatimes.com/city/madurai/three-killed-in-minibus-van-collision-near-dindigul/articleshow/45870748.cms
9,21-year-old dies in Road accident,"Melwyn Fernandes, 21, a resident of Loutolim, died in an accident after the two-wheeler he was riding collided with a truck at Tembi-Raia, Sunday afternoon.",https://timesofindia.indiatimes.com/city/goa/21-year-old-dies-in-road-accident/articleshow/31757934.cms
10,Two youth killed in separate Road accidents,An 18-year-old student travelling for football practice to Colva and another youth returning home to Baina were killed in two separate accidents on Sunday.,https://timesofindia.indiatimes.com/city/goa/two-youth-killed-in-separate-road-accidents/articleshow/31748403.cms
11,"3 engineering students, lab technician die in Road accident",Cleared/ Three engineering college students and a lab technician were killed and 16 others injured when the college van they were travelling in collided with a truck near Poigaiputhur in Karur on Tuesday.,https://timesofindia.indiatimes.com/city/trichy/3-engineering-students-lab-technician-die-in-road-accident/articleshow/46765697.cms
12,Six persons die in Road accidents,Six people were killed in separate Road accidents in Jaipur in the early hours on Wednesday.,https://timesofindia.indiatimes.com/city/jaipur/six-persons-die-in-road-accidents/articleshow/21131877.cms
